,text
1456,"the parallels between this video, and the stolen generation in Australia, are just too similar and heartbreaking and real. I&#39;m so sorry this happened to you all. For better or worse, you are not alone."
1457,She so nasty that homeless women she deserve no money after what she did
1458,I could never fathom how humans can dime another as an animal or something to be experminted on
1459,"​@conservative3837 both are dystopian, depressing and breaks people."
1460,Exposing the facts and corruption only makes it easier to pass off the next corruption more easily next time. There will likely be nothing done about it anyway.
1461,Everyone is tough online. Fighting a drugged up maniac with a possible knife in pocket is not common.
1462,sorry but that instinct to help someone in need has been dubbed toxic masculinity for so long now that for most it isn&#39;t even worth the effort not to mention that the guy was dark skinned so for someone to intervene they not only risk the physical injury of confrontation but also having their life destroyed by morons
1463,These same farmers had no problems making sure other farmers couldnt get the back pay they were owed when their farms were going under. Same money that they themselves collected.  Now you want sympathy 🤷🏾
1464,"The day you voted for. Biden, Kamala and blue states tried to help you poor imbeciles. All you wanted to do was hate us. Was it worth it? Or are you still waiting for that 4d chess"
1465,"i was told every single day of my childhood,<br>by my step mother,<br>that she wished i would die.<br>(...took a toll, after awhile...)"
1466,Israel is doing the same in gaza
1467,Don&#39;t want lust just need one true friend who is there to hold hand hug share shoulder listen to our cry hurt mk laugh tk out
1468,Is this where the next virus will be made?.
1469,"I hate myself but I like my nose, it’s cute 👀"
1470,This video is way incomplete. Misses on so many points !
1471,Santizing billionaires.
1472,"Teachers like that, don’t care and don’t put the time in helping the students out that’s why they don’t know if the student has special needs so theses teacher need to stop acting stupid and thinking the kids get stuff handed to them some do some don’t"
1473,@paolorossi8470 Way to Dehumanize Autistic People.
1474,"ICE is abusing authority just like Donal trump , they are destroying America constitution justice laws"
1475,The u s is broke 😔 done ✅ check out <br>4th poor country path
1476,Let’s ban houses! Since that will decrease global warming <br><br>Cope and seeth
1477,water crime he said
1478,200 species go extinct every day welcome to the 6th extinction thx capitalism and 8 billion people
1479,The people of Flint need to get the Feds involved - the State of Michigan won&#39;t prosecute because they had a hand in the cover up.
1480,"When you join a Seal team and you are to overweight and lazy to get over the obstacles, you&#39;re out. Elon leads a Seal Team, not a Yoga class."
1481,"Americans have been spoiled and feeling entitled for decades, believing they lived in the greatest country in the world. <br>Fortunately, many people have seen the writing on the wall and tightened the belt, downsized and used their common sense.<br>My goal is to save as much as possible of my meagre SS and move out of the country by next spring."
1482,Dont lie they dont protect nothing police dont came in right time they came an till they finish looting
1483,"It&#39;s easy to blame their parents, religion, taliban but what about all those country using Afghanistan their playground since ages. Shame on western countries shoving this vibrant country into such desperate poverty. Shameful. They are starving and what are others doing. Waiting and watching them suffer"
1484,"My mum rejected me my dad brought me up.... When I did see her she was cold, aggressive and I would say things innocently and she would push me away... She didn&#39;t feel like a mum to me I hated her.... I also had various step mums who were awful too they bullied, me, humiliated me made me feel unwanted.<br>My dad was very negative, strict, would hit me when he thought I was naughty, I do not think I was ever naughty... He just lost his temper. He would blame me for everything, he would say if it wasn&#39;t for he wouldn&#39;t be in this mess.... I used to want to die, I&#39;ve always felt suicidal.<br>School was hell too I was severely bullied all through school... I never felt enough, pretty enough interesting enough....<br>Now I&#39;m an adult I still find my in situations where other women bully me at work ...... I don&#39;t get it <br>I try to be nice, then if someone is funny with me I just shut down. <br>I struggle to make friends also as at school nobody wanted to hang around with me, or if they did they&#39;d dump me for other friends.<br>Im such a mess I. Know I have CPTSD"
1485,Here after 2024 election guys? We just witnessed the fall of a nation and the rise of a dictatorship
1486,"He was criticising me for not texting him about passing my semester he went on on , then I searched through my phone to prove I did . His reaction was screaming and crying, no apology for criticising me about being a bad girlfriend"
1487,"Ngl, I hate the half-arsed assertions of &quot;human nature&quot; picked by economists. <br>If you want to look at the greatest potential for human technological advancement across humanity, look at the hundreds of millions of brains that are underused. <br><br>Whether it&#39;s malnutrition (stunting IQ), the wealth-gap in education (Not providing the resources to maximise the development of IQ), or the wageslavery of struggling to make ends meet (snuffing out ideas before they can even start-up), there is so much potential human genius lost due to wealth inequality.<br><br>Idk if you&#39;re just trying to play devil&#39;s advocate but this video distorts the narrative by endorsing the status-quo too much. If the channel wants to make arguments this one-sided, I don&#39;t think it deserves the pretension to objectivity of &quot;Economics explained&quot;."
1488,"You gotta love the influence of culture, that choice sure does a number to the environment, makes one wish a problem could be fixed by pushing a button or switch, similar to Flint, Michigan.....No, that was politics, not choice."
1489,"Sooo Sad ,how many kids are so stressed 😢 about becoming homeless..kids should not have to worry about things like this!"
1490,"My fiancé and I were together for 4 years on and off. I tried to be there for her, but she wouldn&#39;t let me in. She kept shutting me out and pushing me away. I started getting anxiety when telling her bad news. i coudlnt handel it any more and i had to leave we failed couples therapy twice i love her but im tired of geting hurt. She&#39;s begging me to come back, and I want to, but she won&#39;t get the help she needs. She&#39;s saying she will now. i cant even feel angry"
1491,"Yes, great video.  These centers are toxic waste dumps that affect neighborhoods for miles around."
1492,"Human beings are a commodoty to the Oligarchy, all expendable for profit but some more so than others. Weird how the rich never change in their treatment of their fellow human beings no matter the names they give themselves to cover their unfettered greed no matter the Century but really not since unfettered greed always causes collapse or war in human history. Regulate human greed before it totally destroys our country."
1493,"In a poor country you can rent a mansion with that money and have sone leftover, but that is not the case in the West."
1494,"what really  happened, is that  we are way over full, don&#39;t need any immigrants any more, so they are throwing up barriers to slow the process. it&#39;s only a habit  now, we have zero need of immigrants for the most part."
1495,Why men and woman r equal....why do the men have to stand up...let the woman save herself....thisnis what they have asked for...
1496,You don&#39;t &quot;blame Maximus&quot; ... really?  LOL!  They SUCK... and their methodology for handling their responsibilities should be ILLEGAL.
1497,I really don’t think she’s doing anything wrong as long as she would’ve separated her views separate from her job and there are something she said are true There are races which have higher IQs and there are races that are stronger than others it’s proven by science it’s also very true people prefer their own race I prefer my own race that doesn’t mean I’m racist I’m just more comfortable with Caucasian race because it’s me race and also it’s one of the main skin colors around the world set aside from the southern continents it just upsets me how people get so upset over stuff like this if she was imputing that to her students then she deserves to be removed from teaching at that school but their is nothing  wrong with having a opinion or preference
1498,The middle class is disappearing because it’s easy for the rich elite Democrats to control a dependent poor person.  Feed them house them and control them. Sounds a little like slavery did.
1499,"Not many people deserve being homeless, but damn she earned her poverty in life, and will continue to do so if she doesn’t realize it’s not okay to treat people this way. Karma is real."
1500,"I was LUCKY. Most of the time Mom and I were BFF’s, and grateful. . Ohh, she was human and bitchy many times, but for the most part she was fun, intelligent and loving. God, I miss her. 😔<a href=""http://www.youtube.com/results?search_query=%23pat"">#pat</a>"
1501,"Except for the many, overwhelming examples when that is false. Some of which were featured in the video."
1502,"This is part of why I feel the problem has persisted for so long.  Sexual harassment is offen a case of he said, she said, and there isn&#39;t really a good solution unless we develope foolproof lie detectors.<br><br>That said, how many workplaces seem to be handling this is really fucked up, innocent until proven guilty yes, but you can&#39;t just assume innocence without even a basic investigation!"
1503,Interesting but I&#39;ll never have sympathy for hindus
1504,I’ve never felt so stuck in my life and the only government aid i receive is medical insurance. I would need to make at least $5k a month to afford my medication or find a job that offers benefits. Which is almost impossible at this point. Last job I had let me go right at the 3 month mark where benefits supposed to kick in. So I stay at my minimum wage job and don’t go over 30<br>Hours a week to maintain my medical insurance with the state.  It’s absolutely ridiculous. Thankfully my boss lets me work under the table for a few shifts just to keep my head above water. Otherwise I would be fucked. The past 5 years have been really hard. Ever since Covid.
1505,wow this explained my life
1506,"I was living pay check to pay check. Trying to live the “American Dream”. New car, nice clothes(bought with credit cards), dining out. Trying to keep up with the Jones’s. I got tired of being broke. Sold the car, eat out rarely, paying down credit debt with help from a non profit credit agency. I’m slowly putting some money in saving."
1507,"The shit is in the US, when you step in to help, you may end up with being locked up yourself. The law that suppose to protect the citizens are actually ruining them.."
1508,"Let’s make it short like this is not the land of white ppl  the land belongs  to the native Americans, because they are here before all of us.   Sooooo yeah"
1509,This is what people should be protesting about .these sorry as greedy corporations raising peoples rent every damm year!!!!
1510,If because nyc only allows the criminals to carry Gunsmoke one wants to get shot..ny has handed the state over to criminals.the dems nation wide refuse to do anything
1511,"And Biden&#39; pulling out of the country enabled this to continue and expand back to what it was before the fall of the Taliban.<br>A ordered, coherent, coordinated withdrawal might have left a government in place that could have continued to fight against these archaic practices. Instead his panicked retreat just put the Taliban back in power and undid any chance of Liberty and Freedom for those who were fighting for it in that country.<br>Nice job Mr. President<br>Come on man, it&#39;s just common sense."
1512,im watching this and i am so sad and now I am so angry .. why does the goverment have billions of pounds to house ayslum seekers and refugees in hotels for free  ... yet these old people who are our own are unable to even feed and heat themselves properly ... it makes my blood boil .. what a disgrace
1513,My biggest regret is not killing myself earlier since I can’t regret being alive as it was not my choice
1514,"BPO will continue to exist but how many people will be needed?   With Ai, Chat bots and other automation tools fewer employment opportunities will be created."
1515,"Thank you sir. I needed to see and hear you say this. I&#39;ll be 40 in a few months&#39; time. My main &#39;success&#39;, like you, has been bringing children into the world. Marriage was hard but ultimately I walked away from it and I&#39;m trying to be a father to my kids in the best capacity I can at the moment, after the divorce which really brought it home what I&#39;d given up and I&#39;m still recovering in my mental health. I can relate to comments below as well about making up for lost time when things didn&#39;t happen as you would have liked them to when you&#39;re younger. But, unfortunately, at 40 I&#39;m too conscious of being middle-aged and it&#39;s hard to fight back the label of &#39;loser&#39;. I gave up our rented house, full custody of our kids and most of my money when I walked away from our marriage, probably out of guilt. I&#39;ve always struggled with lust but I was never going to put her through an affair. Fortunately we&#39;re still friends but any relationship prospects for me look set to be doomed to failure. Still need to work small and build up. I&#39;m just about managing to rent a room in someone&#39;s house with government financial support and I fight suicidal feelings on a daily basis - fighting them because I need to hang on for my kids. One day I&#39;ll find hope again for myself but for now it&#39;s just a matter of sticking it out for those that love and need me, no matter how shit I feel about myself. So I can totally get your deep connection to your son. Also your view on how fake everything seems, to put it simply. Sadly this seems to be the way now. Maybe it&#39;s an ageing thing, or maybe things really are just getting worse and worse."
1516,He made us work to hard.. 😅😂 Then find a new job and stop crying about it. You cant handle it. UPS is hiring.
1517,Politicians and rich business men are two sides of the same coin . Everything tha is going on is by design . Politicians pass bills and policies that favor private companies that they themselves have stakes and shares on . This system is a Ponzi bro
1518,why is it so hard to share a country?
1519,Whites belong in Europe.
1520,when u have no children...u go to foreigner for help
1521,My dad never closes the door when he leaves my room
1522,It just came out of nowhere for me and i felt lost. Cried over a year..😢
1523,"Don’t means test it, if means testing costs more than the benefits given out."
1524,"This sounds like my marriage. After 45 years of a living nightmare, I found out about his girlfriend, but said nothing. I made financial arrangements for myself, loaded my personal belongings into my car, and drove away in the night.  Building a life for myself has been incredibly difficult, and overcoming my anger even harder, but I’m now a few years beyond that point and I’ve never been this peaceful and contented.  My only regret is that I waited so long to make that decision."
1525,I know how it feels😕<br>I cried somtimes when i came home and no one would ask me if we could hang out... But i have friends now who really like me😊 like in the video. Like or comment if you know how it feels😘😊
1526,People be gettin murdered out here and y’all talkin about some homeless girl throwing coffee at somebody lmaoo
1527,See I knew that some people don&#39;t go to toilet but there are some types of people who goes to toilet.... PLS don&#39;t call us like that I feel so sad. Some people polluted that lovely river not all Indian pls don&#39;t say bad words I feel like I would cry... India is not our country name our real country name is Bharat <br><br>PS :So late to comment 😂😂
1528,"I&#39;m 60-years old, never married, no children. I know I&#39;m alone in this world. I just try to do my best and leave the rest to fate. What other options do I have?"
1529,What a useless captain
1530,"Chicago is the same way. We are living in a reverse world under a beast system.<br>So many people on crazy drugs everywhere.<br>I take the bus to work and people get on the bus high on drugs screaming, mad even hitting themselves.<br>Sad and scary."
1531,"If you allow open immigration, and don&#39;t allow new housing to be built at the same rate, then the outcome is obvious - see what happens in UK, Canada, Australia. U.S. is different in that we constrict immigration and allow lots of new housing development."
1532,I was addicted to this in the uk in 2009. Nasty stuff. I was about 27 and I remember one day sitting down and my knees were dark purple. The comedowns were unlike anything I ever experienced. Literal hell. I have photos of a new years eve party where we were first introduced to it and everyone looks insane. It took just a month to get badly addicted. I would never touch it again now I’m free of it. Even if it was the only drug on earth.
1533,"Cholos stay in Mexico,  stop stealing"
1534,One million dollars is a slap on the wrist as a penalty for these guys.
1535,And we should sweep the nation and get rid of them all or make them all taxpayers immediately
1536,The Mormons are the best at it
1537,Time to hold the bankers responsible for their stupid games.
1538,"Cheap construction materials,   garbage houses , deficiency in labor and they want thousands of dollars for a crab house"
1539,"I mean whats the point even in learning 6years to get good job (im 19) and either way i will go to war and get droned, im from Poland and my countdy dont care about Polish ppl, if they will get money from sending me somewhere or just killing countless of ppl like me they will do it with a smile"
1540,"Alex Thompson Yeah, I guess. I wonder what on earth that black sludge is made out of...."
1541,"Kind of wish this hit when I was 22 at the end of 2010. Though we were getting there without much resistance or fight. I have never be offered a career option or have access to a PCP when health does go sour. USA is doing its best to screw a lot of people out of family planning or even hooking up with/out a home to call their own. Who wants to date you living at home through to 40? If they cannot look past that, that is on them. We cannot all be extroverted neurotypical people who can do shit all the time."
1542,"Incompetent ship captain, and slow response coast guard / SAR team. This is really sad. May you all, the victim, rest in peace."
1543,It&#39;s the feeling you get when you know in your heart that your best days are behind you.
1544,"Every time this discussion about student debt comes up, no one ever wants to talk about WHY college is so ridiculously expensive.  The answers are clear to any reasonable person not blinded by whatever ideology they subscribe to:<br>-The push to get everyone into college.<br>-The government subsidizing the colleges through student loans and other methods.<br>Colleges are big businesses that behave in the same abhorrent ways as other big businesses, yet somehow they get a pass from society."
1545,Welcome to Black people’s reality
1546,"She told the absolute truth about how it is in Texas now. I&#39;m also native Texan and the state has been taken over by folks from the East and West coasts. Those who have been here their whole lives are barely making it and forget about owning a home, but folks who just got here are loving it."
1547,Dude complaining and then saying he still loves the current administration deserves every hardship he gets.  Totally incapable of taking care of himself.
1548,There is no objecting anymore. They’re gonna do what they’re gonna do
1549,There’s a huge black dude there. What use are your muscles?
1550,Why can&#39;t they just get a 2 boats and a net and just drive by and collect the garbage that&#39;s easy to clean nothing but lazy people 😑
1551,That is the dirty secret about the middle class.  Their existence is because the rich were taxed 95% at the start of the new deal.  The reason they agreed to doing so was not out of the kindness of their hearts.  It was because socialist and communist political parties were the largest most powerful group during the depression.  They told FDR to do the new deal or face a revolution like Russia and the rich in America panicked because they were target #1.
1552,Hi Contagonist. <br>Sorry to read that there was a highly picked droning that disturbed you so much. I have no idea where it came from.
1553,life is unkind
1554,try that on the tube in london and you would get your face smashed in.
1555,"Thank you for this. I happened to stumble upon this video and played it in the backround while drawing. Your words of wisdom help a little bit and I will continue to search for stories like this and hopefully you will feel good while sharing them. I am 27 right now. Just finished art school and working on master&#39;s project. And throughout my life, I have constantly tried to appease to others. To make art that others like, to try and act however needed to be not accepted but just...tolerated. So, silent enough to not be noticed and bullied. But those are the things i carry on from primary school I&#39;m sure. Because lately I managed to finally find wonderful friends that truly care about me. Currently I feel shitty though, maybe because of art or expectation related questions. I feel as if I cannot breathe...Please continue sharing stories like this, I would like to continue listening. Because I fully know I am but a child compared to your experiences. And I hopefully gain a deeper understanding of how to truly love yourself and accept yourself as you are. I know i should but doing so it so incredibly hard...I followed you now and I would like to listen to more of what you can share. :)"
1556,If a guy would try to help he would had be chastized for something.
1557,The man will go to heaven for giving out his 9 yrs daughter for marriage.. 72 Virginia for him
1558,No wonder that the plague still is a thing in some part of India. Maybe the indian government should spend money on sanitation rather than nukes and space rockets.
1559,"It still sounds apologetic. As the desendent, as recently as 2 generations ago, of a workhouse slave, I find better clarity from many like Thomas Sowell, Walter Williams, Candace Owens, Larry Elder, and many more. Lots of points to verify and consider. Happy to do that. Interesting. There&#39;s just something, maybe body language, not sure. Got to view this a 3rd time."
1560,Omg nobody told that it ugly or anything I love the way u look and act pls do not tell ur self that ur ugly
1561,"Yeah but one side is worse then the other, you can&#39;t exactly comore what they both did and said as the same-- only one has a true impact that takes away rights."
1562,"@yeet5146 He did nothing, but his friends did."
1563,"I remember learning about these kinds of things in our global studies class in school. <br>It’s sad and disgusting, hopefully we can someday stop this from continuing. I hope she is able to return to her family some day."
1564,Happiest I ever was is when I was able to get an apartment near work and my commute was 5 minutes.  It was worth every penny.  (it increased my rent about 50% over my last rent)<br><br>Now I am back to a 45 minute commute (sigh).  I had 6 years of working from home job.  Its SO hard going back to working in an office after that company was bought out.  (my job moved to India)
1565,What happens was the media jumped to conclusion based on the color of a white man’s skin
1566,This is reality of sharia law and Muslims reality 😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢
1567,"<a href=""https://www.youtube.com/watch?v=RfxU4GE4vWM&amp;t=286"">4:46</a> - <a href=""https://www.youtube.com/watch?v=RfxU4GE4vWM&amp;t=292"">4:52</a> IS SO MUCH BIG DICK ENERGY! I was thinking what my first breakup was and thought Nah I’m good. Can’t hate on nobody and then boom! All the “go to hell”, “fuck you Wayne...” or “Zack Warner, you’re a piece of trash”! HAHAHAHA<br><br> BIG DICK ENERGY! I wanna say these to one ex!!!!"
1568,Oh man In Philippines If you did that Man Someone will throw a whole chair
1569,"Question, when was the last time you saw a nurse who had a healthy weight?<br>I personally can&#39;t remember seeing a healthy bmi nurse.<br>I had to take my three year old to       a +e some year&#39;s ago, he&#39;d had a seizure and there was some blood coming from his mouth, I asked one of the nurses, who was chatting with three other nurse&#39;s and sharing a tin of celebrations chocolate treats, talking loudly in the reception area of the a+e ward about TOWIE, if she would look in his mouth with her pen light, so that we could see if he had bitten his tongue or cheek whilst having had a seizure, I was firstly looked at like I was an idiot for intertupting them, and when I asked for their help, they said no, they couldn&#39;t, and to just wait, I said, but he&#39;s bleeding from the mouth, it was to no avail, in the end, a lowly domestic, who was an elderly woman, said here love, and gave me her pen light to check his mouth myself, which I did, and was able to see that he&#39;d bitten his tongue badly, but nothing that would not heal in time. It was the unhelpful, entitled, disinterested attitude of the portly nurse&#39;s, (4 of them) that shocked me more than my young sons incident."
1570,Sad what happen but instead of telling everyone to come out they told them to stay inside below deck ..
1571,Section 8 been like this but worst broken microwaves etc gas leaks it’s sad asl and it just stay that way if you can’t tell they don’t care for you your going to have to get it on your own it’s a dog eat dog world
1572,"So do they not like Black people?😂 <a href=""https://www.youtube.com/watch?v=jMmpmBOXBwU&amp;t=153"">2:33</a>"
1573,"Vox has outdone themselves with little onesided facts and ignorance. When you produce half baked videos on topics that are so politically hot and sensitive you could power a rocket to sigitarius A, and give it mere 10 minutes, you have to realize people are going to dislike and unsubscribe. People like me. As a Pakistani this really got my blood boiling"
1574,What time do you study if you are working for 12 hours?
1575,Stop on. I believe everything this lady says.  Letting kids bring in phones to school is the worst thing u can do.  I’m actually going to keep it real.  Cell phones are a virus.  People can’t live without one let alone put the phone down.  I wish it was the early 90’s again. F Cellphones
1576,"I grew up in poverty but had a positive plan to get out.  Whereas my sisters &#39;plan&#39; was to marry a guy with money and be supported, my plan was to get an engineering degree. People who come from poverty need to be encouraged to get engineering degrees. A college graduate with a vague liberal arts degree is barely eligible for a job. A college graduate with any engineering degree, especially if they are women or persons of color, have job offers lined up waiting for them. And these are good jobs with salaries starring around $60,000/ year. I&#39;m shocked at how ineffectually poor people are counseled about jobs and job opportunities. It&#39;s ridiculous."
1577,"“Technology!”  Uh huh, sure. So why isn’t this happening in other countries?<br>Answer: The technology isn’t the problem; It’s the culture,  parents (or single mothers) not  doing their jobs, and the lowered standards within America’s education system."
1578,WTF If My Doctor Did That Hell Yeah I Sue The Hell Out Of Them
1579,"Ayla B plus, the amount of times I’ve tried to cut her out of my life is unbelievable. It’s hard because we share lots of friends and I wouldn’t manage without them"
1580,"The Coast Guards are the culprits because they helped the Captain deserting. Once again, no tow boats! Why?<br>Idiots! In the beginning of sinking the tow boats could avoided the ship tilting."
1581,"Sorry you continue to experience this, I experienced and continue to experience racism in Australia from whites"
1582,I understand why they are redacting information. The US is competing with other companies within the country but more importantly globally. They cannot afford to have competitors know what and how they use information. China hacks the US power grid and water supply every day. Can you imagine if they found out what data centers were receiving government information?
1583,@muhammadeyssa23648what makes you think women don’t have rights? So you think your mom is an object?
1584,All this thing happens with me 😢 I don&#39;t know how to escape them i feel like this bond is forged
1585,I had an eating disorder and dealt with body related issues my whole life and this woman is a hero. I hate the body positive movement.
1586,"AP, this is a state level problem that the state level legislators and governor need to figure out. Trump is federal and has nothing to do with this. Get your reporting accurate and tell your journalists and editors to stop being lazy with the liberal narrative parroting."
1587,German German....ask Leopold of Belgium.....the biggest murder....in Africa...
1588,why is everyone gay in this🤢
1589,Its up 60 % or more since Trump took office and hes one of the more FAMOUS SLUM LORDS OUT THERE along with his son in law kushner .  thats the REAL REASON for hundreds of 1000s and millions being pricedcinto the streeys wgere thr SCOTUS is aboyt to criminilze the VICTIMS OF THESE CARTELS
1590,What about the women that sat there and did nothing?
1591,too bad your website and this data is behind a paywall. great reporting though...
1592,@Mya-Elba turns out my whole life she has been in survival mode because my Dad was abusive. So she didnt have space to deal with my emotions coz she had too many of her own going on. Shes being a better Mum recently and has gone to therapy:)
1593,&quot;Where u can improve&quot; reinforces that there is something wrong with you then.
1594,I dont show my feelings to anyone but my self
1595,That privileged white lady in minute 12 is bananas
1596,I know this wil probably be stupid but i just say what&#39;s on my mind why can&#39;t they like put a huge net so the garbage can&#39;t go through and ocassionally pit it in a garbage truck? It&#39;s not much but it&#39;s something?
1597,Move out! dont live in that city any more. there are tons of better places.
1598,"....nope, child abuse way worse and it works in a similar fashion whereby if some woman wants to &#39;get a guy back&#39;, for whatever reason&#39;, she only has to make the accusation and that guy&#39;s life is largely ruined. They are both bad but the child abuse thing is horrendous for those innocent paries affected."
1599,Shithole America
1600,Well said. What a clever girl. It has happened to so many young girls in our society. It is not just Epstein. He may be at the pinnacle but it runs all the way through our society from the top.
1601,Indian are so smart.. why they do this to the land 😡
1602,"My brother used to emotionally abuse me. He is seven or eight years older than me and I always felt like he didn&#39;t do enough for me to call it emotional abuse. I belittled what I went through because I thought that by calling my story emotional abuse, I was taking away from people who &quot;had it worse.&quot; But watching this video has really helped me understand that what I went through was emotional abuse, that it wasn&#39;t my fault, and that I shouldn&#39;t belittle my struggles or anyone else&#39;s. Thank you so much for this."
1603,It is weird to fire someone without giving them the reason for their termination.
1604,"Funny: after the 2008 financial extra rich people generated crisis, the Germans lectured the Portuguese (and others) on spending much less than that."
1605,"So, before unification of Germany this family was fine. Everyone had jobs, right? Who is to blame? We had the same disaster in Russia in 1990-s."
1606,"What, a company treating you like a resource they can toss aside when they no longer find you cost effective? SHOCKING"
1607,"I remember when this happened, it made news in America they didn&#39;t talk about it for a long time but I remember the emotion in Lester Holts voice when he said a majority of the victims were students."
1608,European schools face the same problem..
1609,It’s sad no body gives a shit about the old people
1610,"35. I&#39;ve saved 9 lives. Experienced 1 in a million chance events with no one around to verify it ever happened. Faced death more times than I can count. Some would call me a hero. Others will say I&#39;m a heartless monster.<br><br>I&#39;ve got nothing to prove. If I wake up and not suffer some random horrid internal pain, it&#39;s already a good day."
1611,Wonder where these teens are now? Did their catholic school kick them out? Did the graduate and get into college? Did Nicholas sandman have to change his name cause of the backlash? Did they still vote trump when they turned 18?
1612,The only savagery and barbarism  was the us government for allowing all of this. People need to wake up to what our government is doing
1613,All the bottled water for aid programs that go to waste and sit in foreign storage and other drink manufacturers use it up as well
1614,Slightly ironic you say you can&#39;t solve the crisis with big claims like build build build but then make nebulous claims like the solution is to reduce inequality and tax wealth. What if the root of inequality is just housing and what are THE SPECIFIC policies that would reduce the share of worker income on accomodation?
1615,"Short of enacting laws that would eliminate cronyism/industry lobbyists etc. in government, I&#39;m not sure what we could do, short of another bloody French Revolution. The problem is, most of the people with the power to enact such laws are complicit."
1616,Everyone deserves clean water
1617,"tbh Writing with internet friends makes me happy, but it hurts when I think about the fact I can&#39;t meet them in real life."
1618,"Erika Kirk, trained in the same network as have the wives of many powerful people"
1619,what happens when you have done all of these things and you still feel lonely?
1620,It’s 6am time to go back to my books and per reviewed papers 🤣🤣 you insult like a child.
1621,"Behea*d starmer, and saddiqh khan on same day, please listen me.... do it for your children,women,kids,wives,mothers, please do it"
1622,"Homeowner in Racine WI. A 2020 school referendum to update the buildings passed by 5 VOTES. Property taxes increased by over $200 through 2050. This year another referendum for teacher pay passed, which is for the next 5 years or so; as did a Police/Fire increase, with no end date. I back the blue &amp; red but the blue here doesn’t respond to minor calls such as noise complaints anymore. Feel like I’ll never retire since we have to pay all this extra money forever."
1623,"Children should not have this as a future.  What happens when the 70 year old man dies?  These old men, who are devoted to Islamic law, are nothing but pedophiles.  I&#39;m not sure any money would get to the people, none of the Taliban leaders look like they&#39;ve ever missed a meal.  The Taliban are bragging about all the billions China is going to invest in the country so why isn&#39;t some of that money going to take care of the Afghan people?"
1624,AHHAHAHAH EAT IT MEXISHIT
1625,"Here in florida it is diffucult. If the climate does not give you heat stroke, the bugs, snakes and wildlife are a problem. Plus there is not a good social system. It is sad anywhere. Generally, people do care about homeless people and especially homeless veterans (rightfully)."
1626,We subsidize BY far the most of any nation....turns out throwing money at problems doesn&#39;t have long term success
1627,"<b>People say they are here for us!</b> But when its time<br><b>They disappear</b><br>Honey, This is what world is like <br>U only have urself to fight against ur problems<br>(＊￣︶￣＊)"
1628,I missed the part where anyone has ever told anyone to blame poor people...
1629,Helping this woman would mean channeling my “toxic masculinity”. Can’t have that.
1630,"This is going to cause them more trauma than they realize.  It&#39;s really sad. These kids may need to get off social media so much and study psychology.  As a matter of fact, there plenty of psychology videos on social media. Listening to a bunch of wounded people who really need therapy is going to make things worse. Poor babies."
1631,Complaining while wearing a $135 Parke sweatshirt...
1632,This was far worse than physical abuse ❤️‍🩹 praying for healing
1633,"&quot;I didn&#39;t think there was a better option&quot;<br>When she said this, I went all the way back to the time I chose the career I&#39;m in now for the same reasons she mentioned. I have stability, but I&#39;ve never been satisfied."
1634,"Blacks are unfit to be in America, exactly as much as Cherokee Braves are unfit to run a liquor store."
1635,"im not gonna watch other vids,, bc they are prob same garbage as this,,,,, what i wanne say there is a vid aboutt DONT HOLD CASH get ASSETS ? like what?? not all have 100,000s to waste,,, and how EASY is it if u half lets say min 250K to make that into 500k,,? assets give me a break,, there sould be limits aswell for stuff like that,, how retarded is it that bezos and others own so much land for again no reason,, geez its sad to see billionaires double their CASH upon the backs and misfortune of the PPL they proy upon,,, and dontt say it aint,, bc how many ppl are paying back shit with 500000% intrest,,, as pure overexamplified number,, but u got the jist,, also WHY is rent is newYORK and sanfransisco so EXPENSIVE ? bc ppl trying to take advantage of others,,, there is no WAY on this planet u gonna justifie paying 2000$ rent a month for a craphole studio BOX if not more,, look at all the movies where they show only 0,0001% of the truth, example,,, movie WANTED ::: the crap box he lives at in newyork and the BARRY who i would punch so badly he had to eat tru TUBE !!!! LOL,,  humanity is SERIOUSLY fucked if we dont change,,,,,!!!!!!!!!!!!!!!!!!!!!!!!!"
1636,This is what they did to every colony as well.. created an inferiority complex
1637,Utilities bills are a massive fraud .
1638,@merekhayaalsay Mohamed consummated his marriage with Ayesha at 9 years old !
1639,Country forces people to borrow money for 10k dollar account that they cant even withdraw properly =&gt; Exploitative food delivery system
1640,"ive been feeling lonely long time, i feel like now im losing myself and the fact that i live scares me, life doesnt feel real anymore, sometimes i cry and cant stop without reason, feel very detached from reality"
1641,Lol at her trying to backpedal.  She is a Nazi supporter and was on with that crazy Lana loktef racist Bitch.  Not satire
1642,Biden wants to mix free housing with hardworking Americans. What could possibly go wrong?
1643,"please stop lying, especially on a Holocaust video. Then again, I see your profile. Cat pics. Trolling garbage."
1644,I hate myself because I am ugly and failed to get 6 packs. I am ashamed and could not get over it whatever I try :(
